time_fs,S0,S1,S2,S3,T1_m-1,T2_m-1,T3_m-1,T1_m0,T2_m0,T3_m0,T1_m+1,T2_m+1,T3_m+1
16.5,6.13313675866205e-05,0.022535156295875117,0.9773892499592246,1.3679655748236138e-05,1.532341123151574e-08,1.0984925203424145e-07,8.768301574926305e-08,1.7299853571733866e-10,5.064839219921373e-08,2.5330732502734623e-10,1.0466285776355602e-08,2.2218708215461897e-07,8.613769580612765e-08
17.0,0.00035378253938535227,0.014925251458910115,0.9847119033280024,8.648885788930536e-06,1.0970260893858368e-08,5.453839942886214e-08,7.172983875163577e-08,6.67466866343575e-11,5.0325237416836714e-08,1.2058303801071938e-10,1.8212927785371403e-08,1.3838140531602713e-07,6.944264822402025e-08
17.5,0.0006111488901811826,0.009407076680966226,0.9899713744055509,1.0127779350541117e-05,2.5491898827020234e-08,3.662451045346524e-08,5.6407270882542716e-08,2.4951962852257776e-11,3.150517794626304e-08,1.8721605120992936e-11,2.6104402389323175e-08,4.128029724326298e-08,5.478666911322432e-08
18.0,0.00025163689879776854,0.006042928570765646,0.9936977202790934,7.557628323904978e-06,1.4008039251453737e-08,1.062385848828966e-08,4.548177460158263e-08,2.704212152029237e-11,9.86037357240442e-09,1.2204121501565769e-11,8.342081183880775e-09,2.3810654959700134e-08,4.4456997586574764e-08
18.5,0.0005792225386201708,0.0036320462860459403,0.9957862785211464,2.3178273457430495e-06,1.4226181388457732e-09,8.147098994434794e-09,3.764734921660016e-08,2.3398907331556527e-11,9.596204110540816e-09,1.999739704980634e-12,1.0208909505685151e-09,4.062180307474511e-08,3.634549820250905e-08
19.0,0.0005733817095006036,0.0015562011380051697,0.9978692583400876,1.021054822259991e-06,7.1566137039856954e-09,1.3587295807061333e-08,3.2525267077468135e-08,5.298584652274813e-11,1.0920665829884848e-08,5.0845293330887496e-12,1.058606146548861e-08,3.0950693060288875e-08,3.1972821301251023e-08
19.5,0.0002626138733006691,0.0024376699716428577,0.9972994205833066,1.7732324922857587e-07,1.715553886649205e-08,7.1849003369872164e-09,3.192229997715391e-08,1.6893397130981277e-10,5.339672710561394e-09,2.7618891507916777e-12,1.6981265701622282e-08,7.668555557269543e-09,3.1824677389544214e-08
20.0,0.00025622211403985895,0.005839343373503257,0.9939024776578229,1.853379296555459e-06,1.766317131029296e-08,2.9966362263156297e-09,3.3066276776825055e-08,3.5769132030234973e-10,1.5897064367612332e-09,1.7186525785572764e-11,1.2565628287790932e-08,2.5878588488245394e-09,3.263125427374063e-08
20.5,0.00013844702629750062,0.007857608565584161,0.9919950106607596,8.816793270198348e-06,1.1944511055123073e-08,9.802103297458958e-09,3.782717497377646e-08,5.795454712815958e-10,1.2948740733810363e-09,8.30856191282541e-11,5.357900500076106e-09,1.2602584081912153e-08,3.74623020895589e-08
21.0,4.037785803535022e-05,0.007171232668812008,0.9927668791948823,2.137527222770387e-05,7.134893677222834e-09,1.6278283855238906e-08,4.733436944691948e-08,7.325838740856774e-10,8.623843222395175e-10,2.1265765121207617e-10,1.5187354677319375e-09,1.35902891523813e-08,4.734195223148244e-08
21.5,2.20866088997853e-05,0.005994154644119104,0.9939505654396565,3.3048641857707297e-05,5.05836560026785e-09,1.1771328762576816e-08,6.037397027518002e-08,7.508239478010013e-10,8.209688071578989e-10,5.185885684581498e-10,2.8036306381352827e-10,4.2104104648059625e-09,6.088059738442853e-08
22.0,2.8970630004259553e-06,0.005548360622866093,0.9944094351268995,3.913798709181907e-05,4.309418237678404e-09,5.544098460543571e-09,7.657721499773264e-08,6.819491174370455e-10,1.5256875358451596e-09,1.1097469068221738e-09,1.162590012463254e-10,1.9825191347674935e-09,7.735332327389625e-08
22.5,1.0466946716347893e-06,0.004828840567586257,0.9951335499881016,3.635379323146624e-05,4.454962971049991e-09,6.5098769318703414e-09,9.387235990646414e-08,5.442444280024215e-10,9.729513004044843e-10,2.0537794164616446e-09,8.827721037170472e-10,4.9369453903650074e-09,9.47285042103114e-08
23.0,4.6854391586928564e-08,0.0032330606215538343,0.9967402465421088,2.640813218027013e-05,5.178620993623704e-09,8.637338335549912e-09,1.0595546241583146e-07,3.1674741030782917e-10,4.4903345809619937e-10,3.421126218424473e-09,2.498925785649693e-09,3.6736684792851597e-09,1.0771891276829926e-07
23.5,1.5764194014832288e-07,0.0014809679594655588,0.9985038219771699,1.4933533336416632e-05,6.3516631060331325e-09,6.689251650001429e-09,2.563015132324478e-08,1.4192347671239716e-10,1.2807886808870013e-09,1.7143541141170389e-09,4.4569463794920255e-09,1.1391044081729257e-09,7.148397796306245e-08
24.0,8.208101615029973e-09,0.00045939220225550334,0.999534382217534,6.1646186487224294e-06,5.995535106740389e-09,2.546299244057681e-09,1.409038431614907e-08,6.724468297503145e-11,1.1008770733713483e-09,7.84930534900291e-11,5.445308754977947e-09,3.5299339370652064e-09,1.98993147453909e-08
24.5,3.39830796438158e-08,0.0003346325712133713,0.9996635897936078,1.6650689736840527e-06,7.352918437871296e-09,3.7242965411475145e-09,4.9829338083642245e-08,3.400586539021375e-11,9.723107277403873e-10,5.634571492550648e-10,6.553381148182363e-09,5.381730860290505e-09,4.171570487086952e-09
25.0,1.772319662983267e-07,0.0006825736586478164,0.9993165962473083,5.530503160079747e-07,8.525192839728425e-09,6.4436431263663564e-09,3.3903551035968046e-08,1.4031033033135187e-11,1.7226746689119625e-09,9.009886976216648e-10,7.65078948027269e-09,3.396666616050289e-09,3.7254355843110465e-08
25.5,0.00024767444361552054,0.0007186874393174991,0.9990332370725346,3.1883172825622765e-07,1.4215171765661311e-08,4.582349597230369e-09,3.120578107451592e-09,7.730331572937195e-11,2.3947798631783605e-09,1.184023258159674e-09,1.2591392227425594e-08,6.321491445527808e-09,3.7725923390168557e-08
