S0,S1,S2,S3,T1,T2,T3,time_fs
0.44739302897494365,0.5525160417018214,2.4174567757101244e-05,1.7601280583992624e-05,2.1699017066761233e-05,2.7331564172289025e-05,1.2289365505998643e-07,26.0
0.44713055123446704,0.5527798068292796,1.918044345909693e-05,1.8190305081456087e-05,2.855218280188087e-05,2.3586644129953247e-05,1.3236081634584392e-07,26.5
0.46216747547586107,0.5377110710421779,4.697343424935711e-05,1.7252431035043382e-05,3.614173214687738e-05,2.0946916856341255e-05,1.3896763676891137e-07,27.0
0.5156042564524875,0.484257205020269,5.7060557820863495e-05,1.4799447039728872e-05,4.4909103016901406e-05,2.16302929536642e-05,1.3912648318438346e-07,27.5
0.6424503294700311,0.35739340687813126,6.07517663237687e-05,1.2806245925186413e-05,5.406391732287879e-05,2.85006714462749e-05,1.4105079610039274e-07,28.0
0.6475301246488764,0.35231950234729564,4.475778645086554e-05,1.0153659510891688e-05,6.403308283364838e-05,3.128734448136833e-05,1.4113056180974647e-07,28.5
0.6494790942020674,0.35037242206732916,2.6928877769916753e-05,8.740426201962499e-06,7.438761851005692e-05,3.8298691584532404e-05,1.2811653727345516e-07,29.0
0.6506846232626655,0.3491593534937419,1.4907038434388421e-05,7.2780017260465895e-06,8.804159243904893e-05,4.5682453513232936e-05,1.1415742579840545e-07,29.5
0.7923798696378196,0.20745133194947746,8.441897632745582e-06,6.252577575212867e-06,0.00010147950923565916,5.2519572728514926e-05,1.0485553592101772e-07,30.0
0.8294169266389249,0.1703958864134098,7.571450622371256e-06,4.356287650688396e-06,0.00011290850624212614,6.225831219200171e-05,9.239093684118523e-08,30.5
0.8342285287884881,0.16556899910747264,5.239190344030287e-06,3.5757626512641733e-06,0.00012180429905482137,7.176282735403777e-05,9.002457092022648e-08,31.0
0.8452864226062539,0.15448411016115446,1.863072051919244e-05,3.5143702155847494e-06,0.00012805050830837922,7.918498507439103e-05,8.664844831012606e-08,31.5
0.8562018134286957,0.14349443432050213,8.571735274136641e-05,3.968652273381017e-06,0.00013256792633855243,8.140165321274701e-05,9.666625478306659e-08,32.0
0.8570754150389782,0.14235078712110036,0.0003564032067281763,3.89868145526388e-06,0.0001378152154252094,7.558085367430418e-05,9.988267819280989e-08,32.5
0.8582432190705789,0.14026537291841265,0.0012762693155416224,3.135465701261006e-06,0.0001470084512852135,6.48942081593663e-05,1.0057031431601475e-07,33.0
0.8653146515400514,0.13110715081421062,0.003371195968450341,2.8482541254736878e-06,0.00015112554439317962,5.293927251194269e-05,8.860630023082328e-08,33.5
0.8749029000669126,0.1198333580614467,0.005058866929570246,3.4287505132386914e-06,0.00015195261239671435,4.9413970955663414e-05,7.960820506282147e-08,34.0
0.8824929195786584,0.11361383536263957,0.003708273254868588,3.4085087235974056e-06,0.00014699811326951762,3.4492471093520355e-05,7.271072587029356e-08,34.5
